"petal_length","petal_width","regression","residuals","squared_residuals"
"1.4","0.2","0.2290778177790085","-0.029077817779008502","0.000845519486789223"
"1.4","0.2","0.2290778177790085","-0.029077817779008502","0.000845519486789223"
"1.3","0.2","0.21052340072002207","-0.010523400720022058","0.00011074196271416077"
"1.5","0.2","0.24763223483799499","-0.047632234837994974","0.0022688297956619022"
"1.4","0.2","0.2290778177790085","-0.029077817779008502","0.000845519486789223"
"1.7","0.4","0.28474106895596785","0.11525893104403218","0.013284621185412964"
"1.4","0.3","0.2290778177790085","0.07092218222099148","0.00502995593098752"
"1.5","0.2","0.24763223483799499","-0.047632234837994974","0.0022688297956619022"
"1.4","0.2","0.2290778177790085","-0.029077817779008502","0.000845519486789223"
"1.5","0.1","0.24763223483799499","-0.14763223483799498","0.021795276763260898"
"1.5","0.2","0.24763223483799499","-0.047632234837994974","0.0022688297956619022"
"1.6","0.2","0.26618665189698143","-0.06618665189698142","0.004380672889332194"
"1.4","0.1","0.2290778177790085","-0.1290778177790085","0.016661083042590924"
"1.1","0.1","0.1734145666020492","-0.0734145666020492","0.005389698589366718"
"1.2","0.2","0.19196898366103562","0.008031016338964386","6.449722343671293e-05"
"1.3","0.4","0.21052340072002207","0.18947659927997795","0.03590138167470534"
"1.4","0.3","0.2290778177790085","0.07092218222099148","0.00502995593098752"
"1.7","0.3","0.28474106895596785","0.015258931044032142","0.00023283497660652784"
"1.5","0.3","0.24763223483799499","0.052367765162005","0.002742382828062905"
"1.7","0.2","0.28474106895596785","-0.08474106895596784","0.007181048767800096"
"1.5","0.4","0.24763223483799499","0.15236776516200504","0.023215935860463915"
"1","0.2","0.15486014954306274","0.045139850456937275","0.0020376060992746605"
"1.7","0.5","0.28474106895596785","0.21525893104403215","0.04633640739421939"
"1.9","0.2","0.32184990307394074","-0.12184990307394072","0.014847398879128748"
"1.6","0.2","0.26618665189698143","-0.06618665189698142","0.004380672889332194"
"1.6","0.4","0.26618665189698143","0.1338133481030186","0.01790601213053963"
"1.5","0.2","0.24763223483799499","-0.047632234837994974","0.0022688297956619022"
"1.4","0.2","0.2290778177790085","-0.029077817779008502","0.000845519486789223"
"1.6","0.2","0.26618665189698143","-0.06618665189698142","0.004380672889332194"
"1.6","0.2","0.26618665189698143","-0.06618665189698142","0.004380672889332194"
"1.5","0.4","0.24763223483799499","0.15236776516200504","0.023215935860463915"
"1.5","0.1","0.24763223483799499","-0.14763223483799498","0.021795276763260898"
"1.4","0.2","0.2290778177790085","-0.029077817779008502","0.000845519486789223"
"1.5","0.1","0.24763223483799499","-0.14763223483799498","0.021795276763260898"
"1.2","0.2","0.19196898366103562","0.008031016338964386","6.449722343671293e-05"
"1.3","0.2","0.21052340072002207","-0.010523400720022058","0.00011074196271416077"
"1.5","0.1","0.24763223483799499","-0.14763223483799498","0.021795276763260898"
"1.3","0.2","0.21052340072002207","-0.010523400720022058","0.00011074196271416077"
"1.5","0.2","0.24763223483799499","-0.047632234837994974","0.0022688297956619022"
"1.3","0.3","0.21052340072002207","0.08947659927997792","0.008006061818709746"
"1.3","0.3","0.21052340072002207","0.08947659927997792","0.008006061818709746"
"1.3","0.2","0.21052340072002207","-0.010523400720022058","0.00011074196271416077"
"1.6","0.6","0.26618665189698143","0.33381334810301855","0.11143135137174703"
"1.9","0.4","0.32184990307394074","0.07815009692605929","0.006107437649552462"
"1.4","0.3","0.2290778177790085","0.07092218222099148","0.00502995593098752"
"1.6","0.2","0.26618665189698143","-0.06618665189698142","0.004380672889332194"
"1.4","0.2","0.2290778177790085","-0.029077817779008502","0.000845519486789223"
"1.5","0.2","0.24763223483799499","-0.047632234837994974","0.0022688297956619022"
"1.4","0.2","0.2290778177790085","-0.029077817779008502","0.000845519486789223"
